name	ina	sex	note	isni	wd	nationality	date	occupation
Gaulle , Charles de	http://www.ina.fr/thesaurus/pp/concept_10075863	http://www.ina.fr/core#Male	Général, homme politique. France	https://isni.org/isni/0000000121251165	Q2042	France	1890	personnalités politiques françaises
Auriol , Vincent	http://www.ina.fr/thesaurus/pp/concept_10172212	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000108623841	Q158772	France	1884	personnalités politiques françaises
Philip d' Edimbourg	http://www.ina.fr/thesaurus/pp/concept_10116540	http://www.ina.fr/core#Male	Prince consort, époux d'Elizabeth II. Grande Bretagne	https://isni.org/isni/0000000109301502		United Kingdom	1921	femme ou mari de
Elizabeth II	http://www.ina.fr/thesaurus/pp/concept_10167712	http://www.ina.fr/core#Female	Reine du Royaume Uni	https://isni.org/isni/0000000386820765	Q9682	United Kingdom	1926	personnalités politiques étrangères
Schuman , Robert	http://www.ina.fr/thesaurus/pp/concept_10215336	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000120955419	Q15981	France	1886	personnalités politiques françaises
Juin , Alphonse	http://www.ina.fr/thesaurus/pp/concept_10093923	http://www.ina.fr/core#Male	Militaire maréchal de France. France	https://isni.org/isni/0000000120960867	Q381244	France	1888	militaires
Coty , René	http://www.ina.fr/thesaurus/pp/concept_10194642	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000095276464	Q158768	France	1882	personnalités politiques françaises
Bidault , Georges	http://www.ina.fr/thesaurus/pp/concept_10217774	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000370826927	Q312026	France	1899	personnalités politiques françaises
Eisenhower , Dwight David	http://www.ina.fr/thesaurus/pp/concept_10128605	http://www.ina.fr/core#Male	Homme politique. Etats Unis	https://isni.org/isni/0000000121450914	Q9916	United States of America	1890	personnalités politiques étrangères
Khrouchtchev , Nikita	http://www.ina.fr/thesaurus/pp/concept_10130157	http://www.ina.fr/core#Male	Homme politique. Russie	https://isni.org/isni/0000000110281676	Q35314	Soviet Union	1894	personnalités politiques étrangères
Truman , Harry	http://www.ina.fr/thesaurus/pp/concept_10170854	http://www.ina.fr/core#Male	Homme politique. Etats Unis	https://isni.org/isni/0000000109070193	Q11613	United States of America	1884	personnalités politiques étrangères
Bobet , Louison	http://www.ina.fr/thesaurus/pp/concept_10073163	http://www.ina.fr/core#Male	Coureur cycliste. France	https://isni.org/isni/0000000078293289	Q358167	France	1925	sportifs
Naegelen , Marcel Edmond	http://www.ina.fr/thesaurus/pp/concept_309359	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000019595113	Q956518	France	1892	personnalités politiques françaises
Couve de Murville , Maurice	http://www.ina.fr/thesaurus/pp/concept_10145994	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000114904172	Q312034	France	1907	personnalités politiques françaises
