media,url,segment,start,end,person
http://www.ina.fr/media/AFE86003905,/Media/AF/AFE86003905.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003905_92,263,265,"Ben Bella, Ahmed"
http://www.ina.fr/media/AFE86003905,/Media/AF/AFE86003905.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003905_102,270,272,"Ben Bella, Ahmed"
http://www.ina.fr/media/AFE86003847,/Media/AF/AFE86003847.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003847_63,185,188,"Ben Bella, Ahmed"
http://www.ina.fr/media/AFE86003840,/Media/AF/AFE86003840.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003840_33,54,57,"Ben Bella, Ahmed"
http://www.ina.fr/media/AFE86003905,/Media/AF/AFE86003905.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003905_88,255,256,"Ben Bella, Ahmed"
http://www.ina.fr/media/AFE86003840,/Media/AF/AFE86003840.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003840_5,16,21,"Ben Bella, Ahmed"
http://www.ina.fr/media/AFE86003845,/Media/AF/AFE86003845.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003845_177,364,367,"Ben Bella, Ahmed"
http://www.ina.fr/media/AFE86003847,/Media/AF/AFE86003847.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003847_62,182,185,"Ben Bella, Ahmed"
http://www.ina.fr/media/AFE86003893,/Media/AF/AFE86003893.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003893_15,40,42,"Ben Bella, Ahmed"
http://www.ina.fr/media/AFE86003840,/Media/AF/AFE86003840.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003840_9,26,29,"Ben Bella, Ahmed"
http://www.ina.fr/media/AFE86003879,/Media/AF/AFE86003879.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003879_171,399,404,"Ben Bella, Ahmed"
http://www.ina.fr/media/AFE86003840,/Media/AF/AFE86003847.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003840_9,186,188,"Ben Bella, Ahmed"
http://www.ina.fr/media/AFE86003904,/Media/AF/AFE86003904.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003904_52,77,80,"Ben Bella, Ahmed"
http://www.ina.fr/media/AFE86004144,/Media/AF/AFE86004144.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004144_80,121,124,"Mitterrand, François"
http://www.ina.fr/media/AFE86004079,/Media/AF/AFE86004079.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004079_46,103,104,"Mitterrand, François"
http://www.ina.fr/media/AFE86004014,/Media/AF/AFE86004014.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004014_219,431,433,"Mitterrand, François"
http://www.ina.fr/media/AFE86004780,/Media/AF/AFE86004780.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004780_74,93,97,"Mitterrand, François"
http://www.ina.fr/media/AFE86004014,/Media/AF/AFE86004014.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004014_222,434,438,"Mitterrand, François"
