media,locator,p,start,end,person
http://data.memad.eu/fr2/6h30-le-journal/4a7dfa1a009f8c0ef0310904291c0ac51b0b736b,https://platform.limecraft.com/api/production/2336/mo/808336/moa,http://data.memad.eu/fr2/6h30-le-journal/6136763cb140742f508f7b47de9f9e9e1dd5077c,264.0,280.0,"Le Saint, Sophie"
http://data.memad.eu/fr2/6h30-le-journal/4a7dfa1a009f8c0ef0310904291c0ac51b0b736b,https://platform.limecraft.com/api/production/2336/mo/808336/moa,http://data.memad.eu/fr2/6h30-le-journal/46f520ee375244b08758b402414f08acf844b42e,232.0,250.0,"Le Saint, Sophie"
http://data.memad.eu/fr2/8h00-le-journal/8552c7141c5aa671de62ad37ce82e2e8c06006aa,https://platform.limecraft.com/api/production/2336/mo/808996/moa,http://data.memad.eu/fr2/8h00-le-journal/5e8db6bfe7ab4695d6559e0f1596323682c47259,5957.0,5958.0,"Le Saint, Sophie"
http://data.memad.eu/fr2/6h30-le-journal/0474b66798129d8b33991836ac8a24516fb4c406,https://platform.limecraft.com/api/production/2336/mo/809703/moa,http://data.memad.eu/fr2/6h30-le-journal/8e9fb205a7b78d716dfac300bc050c825bec1d13,184.0,234.0,"Le Saint, Sophie"
http://data.memad.eu/fr2/7h30-le-journal/4feee74ab78ec77d9d84fc2d831bfcdeb816c67c,https://platform.limecraft.com/api/production/2336/mo/809709/moa,http://data.memad.eu/fr2/7h30-le-journal/0ee59825afd3c6a95f889a84e0ecd3947d8164cf,523.0,544.0,"Le Saint, Sophie"
http://data.memad.eu/fr2/7h30-le-journal/25fd92c66a396d360a06f614dc0784623bc3acea,https://platform.limecraft.com/api/production/2336/mo/808341/moa,http://data.memad.eu/fr2/7h30-le-journal/c84f76626083dd9f1dc1a914a68fcae933294164,336.0,347.0,"Le Saint, Sophie"
http://data.memad.eu/fr2/6h30-le-journal/4f852035d43fc83a809e2df31729d322d598e46f,https://platform.limecraft.com/api/production/2336/mo/809420/moa,http://data.memad.eu/fr2/6h30-le-journal/498e926f332cddfd8639acd97d3230c36a4390e8,195.0,217.0,"Le Saint, Sophie"
http://data.memad.eu/fr2/6h30-le-journal/4f852035d43fc83a809e2df31729d322d598e46f,https://platform.limecraft.com/api/production/2336/mo/809420/moa,http://data.memad.eu/fr2/6h30-le-journal/49b02872b655f013a47d814694aa0c0222e80cd8,178.0,195.0,"Le Saint, Sophie"
http://data.memad.eu/fr2/7h30-le-journal/95864235796447d859f463156c86d696f3f49f88,https://platform.limecraft.com/api/production/2336/mo/809429/moa,http://data.memad.eu/fr2/7h30-le-journal/008688c570a2728b3f22228d607f948ac6731482,396.0,462.0,"Le Saint, Sophie"
http://data.memad.eu/fr2/8h00-le-journal/8552c7141c5aa671de62ad37ce82e2e8c06006aa,https://platform.limecraft.com/api/production/2336/mo/808996/moa,http://data.memad.eu/fr2/8h00-le-journal/52f9f11872643acd488bb33e1e331588f90d0bb5,5911.0,5935.0,"Le Saint, Sophie"
http://data.memad.eu/fr2/13-heures/3ac1dfecf3092bedab3ef74252ceb05f572d2269,https://platform.limecraft.com/api/production/2336/mo/809788/moa,http://data.memad.eu/fr2/13-heures/0380b89338028f25c6137a1bdd9eddfb00f7d299,1529.0,1533.0,"Delahousse, Laurent"
http://data.memad.eu/fr2/20-heures/bc94cb0df1a39668823168bae83067b81f5d5a28,https://platform.limecraft.com/api/production/2336/mo/809746/moa,http://data.memad.eu/fr2/20-heures/419c844dca0d85fa6f4aa90bf36f2323a193a4ba,2634.0,2652.0,"Delahousse, Laurent"
http://data.memad.eu/fr2/20-heures/bc94cb0df1a39668823168bae83067b81f5d5a28,https://platform.limecraft.com/api/production/2336/mo/809746/moa,http://data.memad.eu/fr2/20-heures/32e1c7c4d029a99a3cbd54ad89040ed9863a2397,2389.0,2483.0,"Delahousse, Laurent"
http://data.memad.eu/fr2/20-heures/bc94cb0df1a39668823168bae83067b81f5d5a28,https://platform.limecraft.com/api/production/2336/mo/809746/moa,http://data.memad.eu/fr2/20-heures/324bbc8aec089a161caf079d11e74f071ef8cf03,2521.0,2634.0,"Delahousse, Laurent"
http://data.memad.eu/fr2/13-heures/3ac1dfecf3092bedab3ef74252ceb05f572d2269,https://platform.limecraft.com/api/production/2336/mo/809788/moa,http://data.memad.eu/fr2/13-heures/a3e8e1c075d221453c19c3ad47fcb5991ddeabbe,170.0,240.0,"Delahousse, Laurent"
http://data.memad.eu/fr2/20-heures/bc94cb0df1a39668823168bae83067b81f5d5a28,https://platform.limecraft.com/api/production/2336/mo/809746/moa,http://data.memad.eu/fr2/20-heures/79b001aad30a6e6dd4aed49dc06eab60e2a84081,1192.0,1206.0,"Delahousse, Laurent"
http://data.memad.eu/fr2/20-heures/bc94cb0df1a39668823168bae83067b81f5d5a28,https://platform.limecraft.com/api/production/2336/mo/809746/moa,http://data.memad.eu/fr2/20-heures/d3d3e0da553edeb2b84ca907fbe4ccc2bd20482d,2293.0,2349.0,"Delahousse, Laurent"
http://data.memad.eu/fr2/20-heures/bc94cb0df1a39668823168bae83067b81f5d5a28,https://platform.limecraft.com/api/production/2336/mo/809746/moa,http://data.memad.eu/fr2/20-heures/8da5268e4fa90a6507ee7ccf2ee0c20458eacd1b,492.0,602.0,"Delahousse, Laurent"
http://data.memad.eu/fr2/13-heures/3ac1dfecf3092bedab3ef74252ceb05f572d2269,https://platform.limecraft.com/api/production/2336/mo/809788/moa,http://data.memad.eu/fr2/13-heures/ca50c35e23e0ca95cc7fd0d20bc984d492f93421,1349.0,1455.0,"Delahousse, Laurent"
http://data.memad.eu/fr2/20-heures/bc94cb0df1a39668823168bae83067b81f5d5a28,https://platform.limecraft.com/api/production/2336/mo/809746/moa,http://data.memad.eu/fr2/20-heures/499fd813e482b7ce8abf23664df3ae36ddb7e7b2,1089.0,1142.0,"Delahousse, Laurent"
http://data.memad.eu/fr2/13-heures/f0c2067e0351dd639fcdf0843e4fedf1886be320,https://platform.limecraft.com/api/production/2336/mo/810015/moa,http://data.memad.eu/fr2/13-heures/c24ef09a1b416fd61661fab2893c591822f3d3b0,162.0,277.0,"Lucet, Elise"
http://data.memad.eu/fr2/13-heures/ba98967dff964c47c89ba23d187dd241aaa28b55,https://platform.limecraft.com/api/production/2336/mo/808289/moa,http://data.memad.eu/fr2/13-heures/9296a35105ed1a1b54e25af9274bd58be055e757,78.0,101.0,"Lucet, Elise"
http://data.memad.eu/fr2/13-heures/f0c2067e0351dd639fcdf0843e4fedf1886be320,https://platform.limecraft.com/api/production/2336/mo/810015/moa,http://data.memad.eu/fr2/13-heures/4b63bf839f27750de7d60edf6efacfd7c8d79a2e,2009.0,2086.0,"Lucet, Elise"
http://data.memad.eu/fr2/13-heures/dd5bc1b8a44809fb736ac6fbbf21a257abaef046,https://platform.limecraft.com/api/production/2336/mo/809734/moa,http://data.memad.eu/fr2/13-heures/44502625529e7950038de7414ca6ec550db630de,2487.0,2570.0,"Lucet, Elise"
http://data.memad.eu/fr2/13-heures/dd5bc1b8a44809fb736ac6fbbf21a257abaef046,https://platform.limecraft.com/api/production/2336/mo/809734/moa,http://data.memad.eu/fr2/13-heures/a408dabd3a4ac5d4d8e9df03bf6d944f07cb2e52,1558.0,1646.0,"Lucet, Elise"
http://data.memad.eu/fr2/13-heures/b8919ac070443f2b9482f3f577ea7af34c04e6f4,https://platform.limecraft.com/api/production/2336/mo/809017/moa,http://data.memad.eu/fr2/13-heures/a49726c66ac14327ccfbbc9580ed87b8599901cd,2132.0,2218.0,"Lucet, Elise"
http://data.memad.eu/fr2/13-heures/f0c2067e0351dd639fcdf0843e4fedf1886be320,https://platform.limecraft.com/api/production/2336/mo/810015/moa,http://data.memad.eu/fr2/13-heures/503c4b1261fde2d0e696ccb0000d12149b2a4218,99.0,118.0,"Lucet, Elise"
http://data.memad.eu/fr2/13-heures/f0c2067e0351dd639fcdf0843e4fedf1886be320,https://platform.limecraft.com/api/production/2336/mo/810015/moa,http://data.memad.eu/fr2/13-heures/4b63bf839f27750de7d60edf6efacfd7c8d79a2e,2009.0,2107.0,"Lucet, Elise"
http://data.memad.eu/fr2/13-heures/ba98967dff964c47c89ba23d187dd241aaa28b55,https://platform.limecraft.com/api/production/2336/mo/808289/moa,http://data.memad.eu/fr2/13-heures/1abec2cd8a0cf56192f7205cde92e136ddeb56a1,825.0,911.0,"Lucet, Elise"
http://data.memad.eu/fr2/13-heures/f0c2067e0351dd639fcdf0843e4fedf1886be320,https://platform.limecraft.com/api/production/2336/mo/810015/moa,http://data.memad.eu/fr2/13-heures/a161c0b38a939d8062ec144e7ba174100705c760,1848.0,1858.0,"Lucet, Elise"
http://data.memad.eu/fr2/7h30-le-journal/4eb6446b8a06edec62ce0865a062ab0c0eafe611,https://platform.limecraft.com/api/production/2336/mo/809997/moa,http://data.memad.eu/fr2/7h30-le-journal/9eba15e437189f5ea5845e04c9ea687194c80380,746.0,749.0,"Gastrin, Sophie"
http://data.memad.eu/fr2/7h30-le-journal/4eb6446b8a06edec62ce0865a062ab0c0eafe611,https://platform.limecraft.com/api/production/2336/mo/809997/moa,http://data.memad.eu/fr2/7h30-le-journal/867e7fece81736b9fbc556feb21a6040af3a769f,548.0,578.0,"Gastrin, Sophie"
http://data.memad.eu/fr2/7h30-le-journal/f1454869acdd75e771bd6dc8957927e579cf82ca,https://platform.limecraft.com/api/production/2336/mo/808271/moa,http://data.memad.eu/fr2/7h30-le-journal/a70a8fded24ff2a9c2d2882e058a31bfc7a4e607,469.0,547.0,"Gastrin, Sophie"
http://data.memad.eu/fr2/6h30-le-journal/20d7954dfde7fa2feaa9eba1e481379eaf9a6b23,https://platform.limecraft.com/api/production/2336/mo/809991/moa,http://data.memad.eu/fr2/6h30-le-journal/1bb7171b540c8119eb016213450abae96649d2e2,398.0,458.0,"Gastrin, Sophie"
http://data.memad.eu/fr2/6h30-le-journal/20d7954dfde7fa2feaa9eba1e481379eaf9a6b23,https://platform.limecraft.com/api/production/2336/mo/809991/moa,http://data.memad.eu/fr2/6h30-le-journal/d3b1e62618e88b2522056d9b74991edc0f57e598,224.0,279.0,"Gastrin, Sophie"
http://data.memad.eu/fr2/7h30-le-journal/4eb6446b8a06edec62ce0865a062ab0c0eafe611,https://platform.limecraft.com/api/production/2336/mo/809997/moa,http://data.memad.eu/fr2/7h30-le-journal/4b2b6824f9565b2aa7a4e3ab0c6070d91f4ac238,490.0,548.0,"Gastrin, Sophie"
http://data.memad.eu/fr2/6h30-le-journal/13caab7be0c45cf49369849dee39b1c4c9b2f945,https://platform.limecraft.com/api/production/2336/mo/808265/moa,http://data.memad.eu/fr2/6h30-le-journal/1579eedb25ff76e983d19f6931d5a9e4e2dfb0e2,242.0,249.0,"Gastrin, Sophie"
http://data.memad.eu/fr2/6h30-le-journal/20d7954dfde7fa2feaa9eba1e481379eaf9a6b23,https://platform.limecraft.com/api/production/2336/mo/809991/moa,http://data.memad.eu/fr2/6h30-le-journal/900d8c66c9bc3f743c0fc1387292aa35c3b3b379,492.0,495.0,"Gastrin, Sophie"
http://data.memad.eu/fr2/6h30-le-journal/13caab7be0c45cf49369849dee39b1c4c9b2f945,https://platform.limecraft.com/api/production/2336/mo/808265/moa,http://data.memad.eu/fr2/6h30-le-journal/1f02e26c928dd5db8be161eb1feb0708af90568e,215.0,242.0,"Gastrin, Sophie"
http://data.memad.eu/fr2/6h30-le-journal/13caab7be0c45cf49369849dee39b1c4c9b2f945,https://platform.limecraft.com/api/production/2336/mo/808265/moa,http://data.memad.eu/fr2/6h30-le-journal/b5987759e500ee93edbc063b9837ad2c2caa942b,187.0,215.0,"Gastrin, Sophie"
http://data.memad.eu/fr2/7h00-le-journal/11c0beb19cddc328195dc91f781280d013756b6b,https://platform.limecraft.com/api/production/2336/mo/809706/moa,http://data.memad.eu/fr2/7h00-le-journal/e5d648f35cd207dda2066249d4f070308dd364ba,552.0,609.0,"Rincquesen, Nathanaël de"
http://data.memad.eu/fr2/7h00-le-journal/11c0beb19cddc328195dc91f781280d013756b6b,https://platform.limecraft.com/api/production/2336/mo/809706/moa,http://data.memad.eu/fr2/7h00-le-journal/da094148f9ef4aa8ccc990d025353e39f6b1faec,609.0,629.0,"Rincquesen, Nathanaël de"
http://data.memad.eu/fr2/8h00-le-journal/9d002c31a1cb79b1fb75778eed9f20e9a3d562e8,https://platform.limecraft.com/api/production/2336/mo/808274/moa,http://data.memad.eu/fr2/8h00-le-journal/e164b5e5632a61962c250132e5523ceb8e66c84b,597.0,674.0,"Rincquesen, Nathanaël de"
http://data.memad.eu/fr2/7h00-le-journal/11c0beb19cddc328195dc91f781280d013756b6b,https://platform.limecraft.com/api/production/2336/mo/809706/moa,http://data.memad.eu/fr2/7h00-le-journal/a3b55829c74ffd08fb8ab2d6e603e1e2740d6161,645.0,705.0,"Rincquesen, Nathanaël de"
http://data.memad.eu/fr2/8h00-le-journal/9d002c31a1cb79b1fb75778eed9f20e9a3d562e8,https://platform.limecraft.com/api/production/2336/mo/808274/moa,http://data.memad.eu/fr2/8h00-le-journal/d07c232c7189d8b3c8e499f0d2e5cc128a4e07fc,496.0,523.0,"Rincquesen, Nathanaël de"
http://data.memad.eu/fr2/8h00-le-journal/9d002c31a1cb79b1fb75778eed9f20e9a3d562e8,https://platform.limecraft.com/api/production/2336/mo/808274/moa,http://data.memad.eu/fr2/8h00-le-journal/fe4409c5f2da6522dd47b94d48466912aad52198,249.0,271.0,"Rincquesen, Nathanaël de"
http://data.memad.eu/fr2/8h00-le-journal/cf9a6498703451850d58aafd0bc9412600dfb2f6,https://platform.limecraft.com/api/production/2336/mo/808366/moa,http://data.memad.eu/fr2/8h00-le-journal/afef6bd0a9806952f57735bf1624afb892d20a5e,449.0,505.0,"Rincquesen, Nathanaël de"
http://data.memad.eu/fr2/8h00-le-journal/a9e6006041f100376f2034c4946cb14c1cb2b7cc,https://platform.limecraft.com/api/production/2336/mo/809713/moa,http://data.memad.eu/fr2/8h00-le-journal/8464e189723be69bd89820670c5d828b2e1430d6,210.0,234.0,"Rincquesen, Nathanaël de"
http://data.memad.eu/fr2/7h00-le-journal/a1233cfd569f0b8ea133b232973d330f8daf2a74,https://platform.limecraft.com/api/production/2336/mo/808269/moa,http://data.memad.eu/fr2/7h00-le-journal/f5a7782ac3af5e7bb4f92acc755ec532e0735e75,234.0,272.0,"Rincquesen, Nathanaël de"
http://data.memad.eu/fr2/8h00-le-journal/cf9a6498703451850d58aafd0bc9412600dfb2f6,https://platform.limecraft.com/api/production/2336/mo/808366/moa,http://data.memad.eu/fr2/8h00-le-journal/eb2571ee3204d3ce9eff230835641330caa45e8f,603.0,633.0,"Rincquesen, Nathanaël de"
http://data.memad.eu/fr2/20-heures/55e49abf5266c5f0942b53b547a2c290693b5dfb,https://platform.limecraft.com/api/production/2336/mo/809958/moa,http://data.memad.eu/fr2/20-heures/c34e177f830a029e2c8456644d08ce2de28ba154,357.0,389.0,"Drucker, Marie"
http://data.memad.eu/fr2/20-heures/68bd349849eaaeaa3986725f4b0533b63327e23b,https://platform.limecraft.com/api/production/2336/mo/809798/moa,http://data.memad.eu/fr2/20-heures/e97e6ecdf03b154eeeefbf5149959ccc5c25a267,2562.0,2634.0,"Drucker, Marie"
http://data.memad.eu/fr2/13-heures/2c506ee4e8d954c1d42961856229ad367d3d29f7,https://platform.limecraft.com/api/production/2336/mo/809947/moa,http://data.memad.eu/fr2/13-heures/79ed3b6e3e1f0698958c7d84e30bcdcf173f3140,835.0,881.0,"Drucker, Marie"
http://data.memad.eu/fr2/13-heures/2c506ee4e8d954c1d42961856229ad367d3d29f7,https://platform.limecraft.com/api/production/2336/mo/809947/moa,http://data.memad.eu/fr2/13-heures/841e8e04361351c6c9ec0d1ec1966daee1ac949d,524.0,545.0,"Drucker, Marie"
http://data.memad.eu/fr2/20-heures/55e49abf5266c5f0942b53b547a2c290693b5dfb,https://platform.limecraft.com/api/production/2336/mo/809958/moa,http://data.memad.eu/fr2/20-heures/9fc09633ea05d40826c3fe49e1028160e9384fea,311.0,383.0,"Drucker, Marie"
http://data.memad.eu/fr2/20-heures/55e49abf5266c5f0942b53b547a2c290693b5dfb,https://platform.limecraft.com/api/production/2336/mo/809958/moa,http://data.memad.eu/fr2/20-heures/341912ffa39e2082cdb4d280dab0ac401aa37ba2,124.0,153.0,"Drucker, Marie"
http://data.memad.eu/fr2/20-heures/55e49abf5266c5f0942b53b547a2c290693b5dfb,https://platform.limecraft.com/api/production/2336/mo/809958/moa,http://data.memad.eu/fr2/20-heures/9fc09633ea05d40826c3fe49e1028160e9384fea,312.0,384.0,"Drucker, Marie"
http://data.memad.eu/fr2/13-heures/2c506ee4e8d954c1d42961856229ad367d3d29f7,https://platform.limecraft.com/api/production/2336/mo/809947/moa,http://data.memad.eu/fr2/13-heures/63fbd6c78d247a7f7b969ecaba6b4b2e74655f84,915.0,970.0,"Drucker, Marie"
http://data.memad.eu/fr2/20-heures/55e49abf5266c5f0942b53b547a2c290693b5dfb,https://platform.limecraft.com/api/production/2336/mo/809958/moa,http://data.memad.eu/fr2/20-heures/bd152b2d6b1b96a98265e5ee34c44b48292aae5b,338.0,358.0,"Drucker, Marie"
http://data.memad.eu/fr2/20-heures/55e49abf5266c5f0942b53b547a2c290693b5dfb,https://platform.limecraft.com/api/production/2336/mo/809958/moa,http://data.memad.eu/fr2/20-heures/cc39d21635c8a943d384dde70afebdb371fc2fe3,212.0,246.0,"Drucker, Marie"
http://data.memad.eu/fr2/20-heures/68bd349849eaaeaa3986725f4b0533b63327e23b,https://platform.limecraft.com/api/production/2336/mo/809798/moa,http://data.memad.eu/fr2/20-heures/74e4f86c6e57d6e1651b3792adb38f27516af0e1,564.0,632.0,0
http://data.memad.eu/fr2/8h00-le-journal/a9e6006041f100376f2034c4946cb14c1cb2b7cc,https://platform.limecraft.com/api/production/2336/mo/809713/moa,http://data.memad.eu/fr2/8h00-le-journal/7b196633c42fd751b67fb4472f14c15225cae1b5,166.0,192.0,0
http://data.memad.eu/fr2/20-heures/68bd349849eaaeaa3986725f4b0533b63327e23b,https://platform.limecraft.com/api/production/2336/mo/809798/moa,http://data.memad.eu/fr2/20-heures/8e091b64bcd316b068f30e42c69bab89bf4a4d85,1579.0,1629.0,0
