p,media,start,end,locator,person,person_uri,duration,frame
http://data.memad.eu/fr2/7h00-le-journal/107a2c9959c394c1d31db842e8317e74023e0a78,http://data.memad.eu/fr2/7h00-le-journal/11c0beb19cddc328195dc91f781280d013756b6b,158.0,188.0,https://platform.limecraft.com/api/production/2336/mo/809706/moa,"Rincquesen, Nathanaël de",http://data.memad.eu/agent/rincquesen-nathanael-de,30.0,./frames/memad_gt/7h00-le-journal_11c0beb19cddc328195dc91f781280d013756b6b_165.jpg
http://data.memad.eu/fr2/7h00-le-journal/1890a021de6a63e09f82f53e534117ffa4860fb9,http://data.memad.eu/fr2/7h00-le-journal/11c0beb19cddc328195dc91f781280d013756b6b,22.0,74.0,https://platform.limecraft.com/api/production/2336/mo/809706/moa,"Rincquesen, Nathanaël de",http://data.memad.eu/agent/rincquesen-nathanael-de,52.0,./frames/memad_gt/7h00-le-journal_11c0beb19cddc328195dc91f781280d013756b6b_35.jpg
http://data.memad.eu/fr2/7h00-le-journal/1d8ce1c0a49423d81e52fb921499efd8a4d9e1a7,http://data.memad.eu/fr2/7h00-le-journal/11c0beb19cddc328195dc91f781280d013756b6b,242.0,245.0,https://platform.limecraft.com/api/production/2336/mo/809706/moa,"Rincquesen, Nathanaël de",http://data.memad.eu/agent/rincquesen-nathanael-de,3.0,./frames/memad_gt/7h00-le-journal_11c0beb19cddc328195dc91f781280d013756b6b_242.jpg
http://data.memad.eu/fr2/7h00-le-journal/21ac2354f24ba8416984f74bdbb115090800265d,http://data.memad.eu/fr2/7h00-le-journal/11c0beb19cddc328195dc91f781280d013756b6b,476.0,506.0,https://platform.limecraft.com/api/production/2336/mo/809706/moa,"Rincquesen, Nathanaël de",http://data.memad.eu/agent/rincquesen-nathanael-de,30.0,./frames/memad_gt/7h00-le-journal_11c0beb19cddc328195dc91f781280d013756b6b_483.jpg
http://data.memad.eu/fr2/7h00-le-journal/43b30b9d4af871a407ec1f34f5aea7c97ff74bb8,http://data.memad.eu/fr2/7h00-le-journal/11c0beb19cddc328195dc91f781280d013756b6b,188.0,209.0,https://platform.limecraft.com/api/production/2336/mo/809706/moa,"Rincquesen, Nathanaël de",http://data.memad.eu/agent/rincquesen-nathanael-de,21.0,./frames/memad_gt/7h00-le-journal_11c0beb19cddc328195dc91f781280d013756b6b_193.jpg
http://data.memad.eu/fr2/7h00-le-journal/6ba982ae6533379354d7fe57730c6c021588cb10,http://data.memad.eu/fr2/7h00-le-journal/11c0beb19cddc328195dc91f781280d013756b6b,339.0,359.0,https://platform.limecraft.com/api/production/2336/mo/809706/moa,"Rincquesen, Nathanaël de",http://data.memad.eu/agent/rincquesen-nathanael-de,20.0,./frames/memad_gt/7h00-le-journal_11c0beb19cddc328195dc91f781280d013756b6b_344.jpg
http://data.memad.eu/fr2/7h00-le-journal/72148e81efe7bd7ec1c68bd438f19431d0089945,http://data.memad.eu/fr2/7h00-le-journal/11c0beb19cddc328195dc91f781280d013756b6b,446.0,476.0,https://platform.limecraft.com/api/production/2336/mo/809706/moa,"Rincquesen, Nathanaël de",http://data.memad.eu/agent/rincquesen-nathanael-de,30.0,./frames/memad_gt/7h00-le-journal_11c0beb19cddc328195dc91f781280d013756b6b_453.jpg
http://data.memad.eu/fr2/7h00-le-journal/7d5b249d94e6cf390ddba022e8fda5e89d73d865,http://data.memad.eu/fr2/7h00-le-journal/11c0beb19cddc328195dc91f781280d013756b6b,209.0,242.0,https://platform.limecraft.com/api/production/2336/mo/809706/moa,"Rincquesen, Nathanaël de",http://data.memad.eu/agent/rincquesen-nathanael-de,33.0,./frames/memad_gt/7h00-le-journal_11c0beb19cddc328195dc91f781280d013756b6b_217.jpg
http://data.memad.eu/fr2/7h00-le-journal/9a4133a2d5d27f3eac775bc0771c7118dbae624f,http://data.memad.eu/fr2/7h00-le-journal/11c0beb19cddc328195dc91f781280d013756b6b,506.0,536.0,https://platform.limecraft.com/api/production/2336/mo/809706/moa,"Rincquesen, Nathanaël de",http://data.memad.eu/agent/rincquesen-nathanael-de,30.0,./frames/memad_gt/7h00-le-journal_11c0beb19cddc328195dc91f781280d013756b6b_513.jpg
http://data.memad.eu/fr2/7h00-le-journal/a3b55829c74ffd08fb8ab2d6e603e1e2740d6161,http://data.memad.eu/fr2/7h00-le-journal/11c0beb19cddc328195dc91f781280d013756b6b,645.0,705.0,https://platform.limecraft.com/api/production/2336/mo/809706/moa,"Rincquesen, Nathanaël de",http://data.memad.eu/agent/rincquesen-nathanael-de,60.0,./frames/memad_gt/7h00-le-journal_11c0beb19cddc328195dc91f781280d013756b6b_660.jpg
