\begin{tabular}{lrrrr}
\toprule
                                index &  precision &   recall &   fscore &  support \\
\midrule
                  Gaulle , Charles de &   0.875000 & 0.076712 & 0.141058 &      365 \\
                     Auriol , Vincent &   0.600000 & 0.019737 & 0.038217 &      152 \\
                 Philippe d'Edimbourg &   1.000000 & 0.000000 & 0.000000 &       88 \\
                         Elizabeth II &   0.800000 & 0.054054 & 0.101266 &       74 \\
                     Schuman , Robert &   0.777778 & 0.090909 & 0.162791 &       77 \\
                      Juin , Alphonse &   0.500000 & 0.060000 & 0.107143 &       50 \\
                          Coty , René &   0.750000 & 0.126316 & 0.216216 &       95 \\
                    Bidault , Georges &   0.600000 & 0.032258 & 0.061224 &       93 \\
            Eisenhower , Dwight David &   0.750000 & 0.115385 & 0.200000 &       78 \\
                Khrouchtchev , Nikita &   1.000000 & 0.071429 & 0.133333 &       56 \\
                    Truman , Harry S. &   1.000000 & 0.000000 & 0.000000 &       62 \\
                      Bobet , Louison &   1.000000 & 0.000000 & 0.000000 &       69 \\
             Naegelen , Marcel Edmond &   1.000000 & 0.000000 & 0.000000 &       20 \\
          Couve de Murville , Maurice &   0.750000 & 0.076923 & 0.139535 &       78 \\
                        Pleven , René &   1.000000 & 0.068966 & 0.129032 &       58 \\
                    Adenauer , Konrad &   1.000000 & 0.075472 & 0.140351 &       53 \\
                       Debré , Michel &   0.625000 & 0.076923 & 0.136986 &       65 \\
                   Gaulle , Yvonne de &   1.000000 & 0.000000 & 0.000000 &       64 \\
                    Auriol , Michelle &   0.400000 & 0.052632 & 0.093023 &       38 \\
              Chaban Delmas , Jacques &   1.000000 & 0.040816 & 0.078431 &       49 \\
              Elizabeth d' Angleterre &   1.000000 & 0.000000 & 0.000000 &       39 \\
                        Faure , Edgar &   1.000000 & 0.000000 & 0.000000 &       37 \\
                      Malraux , André &   1.000000 & 0.000000 & 0.000000 &       52 \\
                  Churchill , Winston &   0.769231 & 0.217391 & 0.338983 &       46 \\
                    Herriot , Edouard &   0.300000 & 0.073171 & 0.117647 &       41 \\
                       Acheson , Dean &   0.500000 & 0.045455 & 0.083333 &       22 \\
                   Spaak , Paul Henri &   1.000000 & 0.060606 & 0.114286 &       33 \\
 Boulganine , Nikolaï Aleksandrovitch &   1.000000 & 0.041667 & 0.080000 &       24 \\
                 Dulles , John Foster &   1.000000 & 0.000000 & 0.000000 &       35 \\
                        Jazy , Michel &   1.000000 & 0.173913 & 0.296296 &       23 \\
                 Monnerville , Gaston &   0.500000 & 0.057143 & 0.102564 &       35 \\
                    Bourguiba , Habib &   0.666667 & 0.240000 & 0.352941 &       25 \\
                       Eden , Anthony &   0.400000 & 0.064516 & 0.111111 &       31 \\
                 Elizabeth-Reine Mère &   0.222222 & 0.030303 & 0.053333 &       66 \\
                Koenig , Marie Pierre &   1.000000 & 0.000000 & 0.000000 &       48 \\
                     Messmer , Pierre &   0.066667 & 0.025000 & 0.036364 &       40 \\
                         Moch , Jules &   1.000000 & 0.071429 & 0.133333 &       28 \\
                Rainier III de Monaco &   0.461538 & 0.193548 & 0.272727 &       31 \\
                       Bevin , Ernest &   0.833333 & 0.166667 & 0.277778 &       30 \\
                    Jacquinot , Louis &   0.200000 & 0.086957 & 0.121212 &       23 \\
                   Pompidou , Georges &   0.692308 & 0.178218 & 0.283465 &      101 \\
                                 Tito &   0.005970 & 0.333333 & 0.011730 &       24 \\
                         Baudouin Ier &   1.000000 & 0.000000 & 0.000000 &       22 \\
                Charles d' Angleterre &   1.000000 & 0.000000 & 0.000000 &       20 \\
                         Joxe , Louis &   0.666667 & 0.114286 & 0.195122 &       35 \\
   Lattre de Tassigny , Jean Marie de &   1.000000 & 0.026316 & 0.051282 &       38 \\
                   Nehru , Jawaharlal &   1.000000 & 0.153846 & 0.266667 &       26 \\
                      Pinay , Antoine &   0.285714 & 0.162162 & 0.206897 &       37 \\
